,id,x,y,z,i,j,k,degree,to_remove
8164,84.0,220.0,392.5981830489455,130.63945294843617,44.0,78.5196366097891,4.354648431614539,5.0,False
8165,85.0,260.0,392.5981830489455,130.63945294843617,52.0,78.5196366097891,4.354648431614539,12.0,False
8166,86.0,300.0,392.5981830489455,130.63945294843617,60.0,78.5196366097891,4.354648431614539,11.0,False
8167,87.0,340.0,392.5981830489455,130.63945294843617,68.0,78.5196366097891,4.354648431614539,8.0,False
8168,88.0,380.0,392.5981830489455,130.63945294843617,76.0,78.5196366097891,4.354648431614539,2.0,False
8206,89.0,240.0,427.239199200323,130.63945294843617,48.0,85.4478398400646,4.354648431614539,5.0,False
8207,90.0,280.0,427.239199200323,130.63945294843617,56.0,85.4478398400646,4.354648431614539,5.0,False
8209,91.0,360.0,427.239199200323,130.63945294843617,72.0,85.4478398400646,4.354648431614539,2.0,False
9729,92.0,500.0,92.37604307034012,163.2993161855452,100.0,18.475208614068023,5.443310539518174,8.0,False
9730,93.0,540.0,92.37604307034012,163.2993161855452,108.0,18.475208614068023,5.443310539518174,2.0,False
9731,94.0,580.0,92.37604307034012,163.2993161855452,116.0,18.475208614068023,5.443310539518174,4.0,False
9761,95.0,160.0,127.01705922171766,163.2993161855452,32.0,25.40341184434353,5.443310539518174,2.0,False
9762,96.0,200.0,127.01705922171766,163.2993161855452,40.0,25.40341184434353,5.443310539518174,4.0,False
9769,97.0,480.0,127.01705922171766,163.2993161855452,96.0,25.40341184434353,5.443310539518174,6.0,False
9770,98.0,520.0,127.01705922171766,163.2993161855452,104.0,25.40341184434353,5.443310539518174,11.0,False
9771,99.0,560.0,127.01705922171766,163.2993161855452,112.0,25.40341184434353,5.443310539518174,12.0,False
9772,100.0,600.0,127.01705922171766,163.2993161855452,120.0,25.40341184434353,5.443310539518174,11.0,False
9773,101.0,640.0,127.01705922171766,163.2993161855452,128.0,25.40341184434353,5.443310539518174,3.0,False
9803,102.0,180.0,161.6580753730952,163.2993161855452,36.0,32.33161507461904,5.443310539518174,6.0,False
9804,103.0,220.0,161.6580753730952,163.2993161855452,44.0,32.33161507461904,5.443310539518174,9.0,False
9805,104.0,260.0,161.6580753730952,163.2993161855452,52.0,32.33161507461904,5.443310539518174,9.0,False
9806,105.0,300.0,161.6580753730952,163.2993161855452,60.0,32.33161507461904,5.443310539518174,5.0,False
9807,106.0,340.0,161.6580753730952,163.2993161855452,68.0,32.33161507461904,5.443310539518174,3.0,False
9810,107.0,460.0,161.6580753730952,163.2993161855452,92.0,32.33161507461904,5.443310539518174,3.0,False
9811,108.0,500.0,161.6580753730952,163.2993161855452,100.0,32.33161507461904,5.443310539518174,6.0,False
9812,109.0,540.0,161.6580753730952,163.2993161855452,108.0,32.33161507461904,5.443310539518174,8.0,False
9813,110.0,580.0,161.6580753730952,163.2993161855452,116.0,32.33161507461904,5.443310539518174,12.0,False
9814,111.0,620.0,161.6580753730952,163.2993161855452,124.0,32.33161507461904,5.443310539518174,6.0,False
9845,112.0,240.0,196.29909152447274,163.2993161855452,48.0,39.25981830489455,5.443310539518174,8.0,False
